id,lat,lng,r
960001569,43.7920297,87.6257592,500
960001592,43.7955699,87.6215384,500
960001581,29.6513038,91.1158910,500
960001568,36.6227479,101.7785116,500
960001591,36.6288858,101.7821084,500
960001566,25.0495561,102.7080709,500
960001589,25.0062919,102.6764325,500
960001582,36.0608921,103.8244110,500
960001601,36.0588045,103.8438309,500
40002377,25.2006505,104.6837868,1422
960001565,30.6540857,104.0739816,500
960001588,30.6679137,104.0561212,500
960001580,26.6036692,106.7016493,500
960001600,26.5689571,106.7185549,500
40042400,29.5768222,106.5861208,1200
40045005,29.5600942,106.5734016,500
40045004,29.5970420,106.5201812,500
40042406,29.5335674,106.4985466,1500
40025607,29.5667598,106.5455948,1000
960001583,38.4719628,106.2547325,500
960001602,38.4975497,106.2240949,500
960001599,22.8171443,108.3528542,500
960001579,22.8193548,108.3235381,500
40002378,30.3546903,109.4791992,1204
960001590,34.2296385,108.9571471,500
960001567,34.2685413,108.9494443,500
960001587,20.0205067,110.3766394,500
960001564,20.0228064,110.3443502,500
960001557,40.8184105,111.7580471,500
40045074,22.1377750,113.5786110,160
40045114,22.1672440,113.5297910,1000
40045070,22.1958890,113.5531110,102
40045092,22.1900000,113.5379170,98
40045134,22.1615560,113.5486110,107
40045077,22.1186940,113.5544720,65
40045121,22.1830830,113.5404720,50
40045116,22.1849170,113.5341110,74
40047711,22.1352940,113.5775470,222
33375,22.5300000,113.5633330,1000
33334,22.3716910,114.0248170,150
33333,22.3653610,114.0172180,150
40042430,22.3154348,114.0455601,2500
40047712,22.1320970,113.5893640,375
40045139,22.1517220,113.5571940,189
40045125,22.1944720,113.5495280,82
40045086,22.2113610,113.5404720,109
33376,22.4983330,113.9016670,1000
40045106,22.1476110,113.5445000,1000
10690,22.2242920,113.8948240,161
40045144,22.1936110,113.5507220,107
40045098,22.1867780,113.5360560,70
40045085,22.1194440,113.5549720,102
40045108,22.1834720,113.5400000,50
40045113,22.1969720,113.5591670,1000
40045115,22.1660630,113.5772220,1000
960001563,23.1359180,113.2615851,500
960001586,23.1188380,113.2914299,500
960001598,28.2064570,112.9935891,500
960001578,28.1194067,112.9774743,500
960001597,34.7662839,113.6702571,500
960001577,34.7678601,113.7470171,500
960001593,37.8598379,112.5379739,500
960001571,37.8134437,112.5726101,500
960001818,20.4822115,115.3096247,200
10688,22.3379890,114.1432610,165
10706,22.4372700,114.0804000,989
33377,22.5983330,114.5416667,1000
40000065,22.6068402,114.5511818,1000
10685,22.2116430,114.2189530,238
33332,22.3394080,114.2457050,200
960001576,28.6410878,115.8081777,500
960001585,30.5502996,114.3446876,500
960001562,30.5485006,114.3363483,500
960001556,38.0370024,114.5244770,500
9371,39.9074800,116.3913720,30000
960001575,31.7380124,117.3238471,730
960001596,31.8630770,117.2893490,500
960001584,36.6506082,116.9977672,500
960001561,36.6698318,117.0149349,500
33237,40.2418451,116.3834025,500
960001570,39.0842847,117.1951957,500
960001560,26.1062045,119.2923392,500
10243,30.2335280,120.1523420,151
960001559,30.2690924,120.1483537,500
960001574,32.0636411,118.7565487,500
960003786,39.8049166,119.3135223,50000
10059,22.6916350,120.4661010,3282
1569,24.8196280,120.9375420,2120
31501,24.1287780,120.5909590,915
31502,25.0398920,121.5119970,292
960001572,41.8343586,123.4279259,500
960001594,41.7778392,123.4017928,500
960001558,43.8943539,125.3158347,500
960001595,45.7583784,126.6454782,500
960001573,45.7401416,126.6558798,500
